end_node;start_node;length_m;load_kw;mdot_kg_s;mdot_kg_h;vdot_l_s;diameter_m;t_ins_m;t_pipe_m
SimpleDistrict_1;e;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_4;e;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
e;f;24;38;0.307;1106.8;0.315;0.0262;0.03;0.0029
SimpleDistrict_8;f;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_7;f;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
f;g;24;76;0.615;2213.6;0.629;0.0326;0.026;0.0037
SimpleDistrict_9;g;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_12;g;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
g;h;24;114;0.922;3320.4;0.944;0.0326;0.026;0.0037
SimpleDistrict_13;h;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_14;h;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
h;i;26.83;152;1.23;4427.2;1.259;0.0408;0.031;0.0046
SimpleDistrict_2;a;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_3;a;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
a;b;24;38;0.307;1106.8;0.315;0.0262;0.03;0.0029
SimpleDistrict_5;b;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_6;b;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
b;c;24;76;0.615;2213.6;0.629;0.0326;0.026;0.0037
SimpleDistrict_10;c;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_11;c;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
c;d;24;114;0.922;3320.4;0.944;0.0326;0.026;0.0037
SimpleDistrict_15;d;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
SimpleDistrict_16;d;12;19;0.154;553.4;0.157;0.0204;0.034;0.0023
d;i;26.83;152;1.23;4427.2;1.259;0.0408;0.031;0.0046
